"#","Name of Job","Cylinder Given To","Check Out Date","Check In Date","Options"
"464","SHAKTI MINERALS & CHEMICALS 16*16.5*5.5 BOX","KATYANI CYCLINDER","03 Jan, 2025","14 Jan, 2025",""
"465","SUNDER SONS 14*16.5*5 BOX","KATYANI CYCLINDER","27 Dec, 2024","14 Jan, 2025",""
"466","SUNDER SONS 14*16.5*5 BOX","KATYANI CYCLINDER","27 Dec, 2024","27 Jan, 2025",""
"467","DEOL CLOTH HOUSE 14*14*5 BOX","KATYANI CYCLINDER","26 Dec, 2024","11 Jan, 2025",""
"468","DEOL CLOTH HOUSE 11*13*4 BOX","KATYANI CYCLINDER","26 Dec, 2024","14 Jan, 2025",""
"469","DEOL CLOTH HOUSE 16*16.5*5.5 BOX","KATYANI CYCLINDER","26 Dec, 2024","16 Jan, 2025",""
"470","KAPIL GENERAL STORE 12*16 LOOP","KATYANI CYCLINDER","26 Dec, 2024","14 Jan, 2025",""
"471","JIAN SWEETS 11*14 D-CUT","KATYANI CYCLINDER","26 Dec, 2024","14 Jan, 2025",""
"472","THANK YOU FOR YOUR BUSINESS 12*13*7 BOX","KATYANI CYCLINDER","26 Dec, 2024","09 Jan, 2025",""
"473","MONTE CARLO (OHI) 16*20 LOOP","JINDAL CYCLINDER","26 Dec, 2024","14 Jan, 2025",""
"474","MONTE CARLO (OHI) 15.5*16.5*5.5 BOX","JINDAL CYCLINDER","26 Dec, 2024","14 Jan, 2025",""
"475","SUNDI VEERA COMMON 11*13*4 BOX","KATYANI CYCLINDER","23 Dec, 2024","01 Feb, 2025",""
"476","SHAM'S  12.75*13.7*4.5 BOX","JINDAL CYCLINDER","23 Dec, 2024","09 Jan, 2025",""
"477","SYLVER 15*19 D-CUT","KATYANI CYCLINDER","23 Dec, 2024","14 Jan, 2025",""
"478","VICKY GARMENT 15*19 LOOP","JINDAL CYCLINDER","23 Dec, 2024","14 Jan, 2025",""
"479","CHIC MODA ( VIVERS) 12*14*4 BOX","JINDAL CYCLINDER","23 Dec, 2024","11 Jan, 2025",""
"480","GUDDU FASHION 11*15*4.5 BOX","JINDAL CYCLINDER","16 Dec, 2024","28 Dec, 2024",""
"481","IFFCO 9*11*4 BOX","KATYANI CYCLINDER","16 Dec, 2024","20 Jan, 2025",""
"482","URBANA 13*16*7 BOX","KATYANI CYCLINDER","16 Dec, 2024","28 Dec, 2024",""
"483","SHREE SHYAM 15*18 LOOP","JINDAL CYCLINDER","16 Dec, 2024","28 Dec, 2024",""
"484","COTTON INDIA 13*16 LOOP","KATYANI CYCLINDER","16 Dec, 2024","28 Dec, 2024",""
"485","SIBIA MEDICAL CENTRE 16*13*5 BOX","KATYANI CYCLINDER","13 Dec, 2024","28 Dec, 2024",""
"486","JASS BAKERS 11*7.5*8 BOX","KATYANI CYCLINDER","13 Dec, 2024","28 Dec, 2024",""
"487","PINKLUSH (TRIBE) 14*18 D-CUT","KATYANI CYCLINDER","13 Dec, 2024","28 Dec, 2024",""
"488","PINKLUSH (TRIBE) 14*18 D-CUT","KATYANI CYCLINDER","13 Dec, 2024","28 Dec, 2024",""
"489","OKANE 13*16 LOOP","KATYANI CYCLINDER","13 Dec, 2024","26 Dec, 2024",""
"490","OKANE 16*20 LOOP","KATYANI CYCLINDER","13 Dec, 2024","28 Dec, 2024",""
"491","JAMES & HARPER 12*14 LOOP","KATYANI CYCLINDER","13 Dec, 2024","26 Dec, 2024",""
"492","KISSAN P.K.S 12*14 LOOP","KATYANI CYCLINDER","13 Dec, 2024","23 Dec, 2024",""
"493","SECURITY PLUS 11.5*13.5*4 BOX","KATYANI CYCLINDER","13 Dec, 2024","28 Dec, 2024",""
"494","SECURITY PLUS 16*16.5*5.5 BOX","KATYANI CYCLINDER","13 Dec, 2024","28 Dec, 2024",""
"495","SOUBHAGYA SILKS 14*18 LOOP","ROYAL CYCLINDERS","13 Dec, 2024","28 Dec, 2024",""
"496","SAJAWAT 16*20 LOOP","ROYAL CYCLINDERS","13 Dec, 2024","28 Dec, 2024",""
"497","VARDHMAN GALAXY 16*20 LOOP","JINDAL CYCLINDER","13 Dec, 2024","28 Dec, 2024",""
"498","VARDHMAN GALAXY 14*18 LOOP","JINDAL CYCLINDER","13 Dec, 2024","28 Dec, 2024",""
"499","D.C. INTERNATIONAL 12.5*15*4 BOX","KATYANI CYCLINDER","09 Dec, 2024","28 Dec, 2024",""
"500","METROCITY MALL 12*13*4.5 BOX","JINDAL CYCLINDER","09 Dec, 2024","28 Dec, 2024",""
"501","TAGGARH 12*14*5 BOX","ROYAL CYCLINDERS","09 Dec, 2024","28 Dec, 2024",""
"502","RICHU'S FABRICS 16*16.7*5.5 BOX","KATYANI CYCLINDER","09 Dec, 2024","19 Dec, 2024",""
"503","AHUJA DRESSES 16*13*5 BOX","JINDAL CYCLINDER","07 Dec, 2024","25 Dec, 2024",""
"504","MISS FASHION 16*18 LOOP","JINDAL CYCLINDER","07 Dec, 2024","21 Dec, 2024",""
"505","CHOUDHARY TEXTILES 16*20 LOOP","JINDAL CYCLINDER","07 Dec, 2024","28 Dec, 2024",""
"506","CHOUDHARY TEXTILES 16*13*5 BOX","JINDAL CYCLINDER","07 Dec, 2024","25 Dec, 2024",""
"507","CUTES CAMP 16*16.5*5.5 BOX","ROYAL CYCLINDERS","04 Dec, 2024","11 Dec, 2024",""
"508","RAEESAH 15*17*4.5 BOX","KATYANI CYCLINDER","02 Dec, 2024","11 Dec, 2024",""
"509","ROOP SQUARE 16*20 LOOP","ROYAL CYCLINDERS","02 Dec, 2024","11 Dec, 2024",""
"510","KHODAL X 15*15.5*4 BOX","KATYANI CYCLINDER","02 Dec, 2024","11 Dec, 2024",""
"511","KHODAL X 14*18 LOOP","KATYANI CYCLINDER","02 Dec, 2024","11 Dec, 2024",""
"512","VAGAD'S 12.5*18*4 TWIST GUZZET","KATYANI CYCLINDER","02 Dec, 2024","17 Dec, 2024",""
"513","SAPNA READYMADE STORE 18*19.5 LOOP","ROYAL CYCLINDERS","27 Nov, 2024","11 Dec, 2024",""
"514","GAMBHIR GARMENTS 16*20 LOOP","KATYANI CYCLINDER","26 Nov, 2024","09 Dec, 2024",""
"515","BHASIN BROTHERS 16*16.5*5 BOX","ROYAL CYCLINDERS","26 Nov, 2024","05 Dec, 2024",""
"516","BEDI WORLD FASHION 16*16.7*5.5 BOX","ROYAL CYCLINDERS","26 Nov, 2024","11 Dec, 2024",""
"517","LEELA SAREES & SUITS 16*16.5*7 BOX","KATYANI CYCLINDER","26 Nov, 2024","11 Dec, 2024",""
"518","RAJAN GARMENTS 16*20 LOOP","KATYANI CYCLINDER","26 Nov, 2024","11 Dec, 2024",""
"519","BORO KABOB 14*14*9.5 BOX","KATYANI CYCLINDER","26 Nov, 2024","11 Dec, 2024",""
"520","INDUS FOOD 13*16.5*7 BOX","KATYANI CYCLINDER","26 Nov, 2024","11 Dec, 2024",""
"521","MANI DI HATTI 14*15*5 BOX","KATYANI CYCLINDER","26 Nov, 2024","28 Dec, 2024",""
"522","SHOE LOVE 12*13.5*4 BOX","ROYAL CYCLINDERS","26 Nov, 2024","11 Dec, 2024",""
"523","SHOE LOVE 15.5*13*5 BOX","ROYAL CYCLINDERS","26 Nov, 2024","11 Dec, 2024",""
"524","RAVINDER BROS 16*16.7*5.5 BOX","ROYAL CYCLINDERS","26 Nov, 2024","28 Dec, 2024",""
"525","FASHION WORLD 16*20 LOOP","KATYANI CYCLINDER","22 Nov, 2024","11 Dec, 2024",""
"526","REGALIA 16*16.7*5.5 BOX","ROYAL CYCLINDERS","22 Nov, 2024","09 Dec, 2024",""
"527","FANCY 14*18 LOOP","ROYAL CYCLINDERS","20 Nov, 2024","11 Dec, 2024",""
"528","JEANS JUCTION (50 YEARS) 14*17 LOOP BAG","KATYANI CYCLINDER","20 Nov, 2024","04 Dec, 2024",""
"529","AL-HASSAN 14.5*15.5*5 BOX","KATYANI CYCLINDER","20 Nov, 2024","05 Dec, 2024",""
"530","ATTIDUDE 14*18 LOOP","KATYANI CYCLINDER","19 Nov, 2024","04 Dec, 2024",""
"531","GURU'S COLLECTION 15*20 D-CUT","ROYAL CYCLINDERS","19 Nov, 2024","10 Dec, 2024",""
"532","GURU'S COLLECTION 16*16.7*5.5 BOX","ROYAL CYCLINDERS","19 Nov, 2024","06 Dec, 2024",""
"533","MANOHAR CLOTH HOUSE 16*20 LOOP","KATYANI CYCLINDER","16 Nov, 2024","29 Nov, 2024",""
"534","BOMBAY FOOTWEAR PULWAMA 14*18 LOOP","KATYANI CYCLINDER","16 Nov, 2024","26 Nov, 2024",""
"535","PRIDE STUDIO 14*18 D-CUT","KALRA PRINTING","14 Nov, 2024","29 Nov, 2024",""
"536","DIGVIJAY SHAWLS 16*20 LOOP","ROYAL CYCLINDERS","13 Nov, 2024","29 Nov, 2024",""
"537","ZAMINDAR KESAR MEHAL 11*14 D-CUT","ROYAL CYCLINDERS","13 Nov, 2024","19 Nov, 2024",""
"538","SHER-E-PUNJAB (Boot House) 13*15.5*4 BOX","ROYAL CYCLINDERS","11 Nov, 2024","19 Nov, 2024",""
"539","BATRA PLAZA 16*16.7*5.5 BOX","KATYANI CYCLINDER","09 Nov, 2024","25 Nov, 2024",""
"540","FRONTIER BRIDAL 13.25*16*4 BOX","KATYANI CYCLINDER","09 Nov, 2024","22 Nov, 2024",""
"541","PRINCE CLOTH HOUSE 13*16.5*7 BOX","KATYANI CYCLINDER","09 Nov, 2024","25 Nov, 2024",""
"542","RAUNKI SHAH ( PUNJABI) 11*13*4 BOX","KATYANI CYCLINDER","08 Nov, 2024","22 Nov, 2024",""
"543","RAUNKI SHAH ( PUNJABI) 14*14*5 BOX","KATYANI CYCLINDER","08 Nov, 2024","25 Nov, 2024",""
"544","BADSHAH 16*16.5*5.5 BOX","KATYANI CYCLINDER","06 Nov, 2024","25 Nov, 2024",""
"545","ABK DRY FRUITS (AMIN-BIN-KHALIK) 11*13*4 BOX","ROYAL CYCLINDERS","06 Nov, 2024","19 Nov, 2024",""
"546","AHUJA GARMENTS 16*16.7*5.5","KATYANI CYCLINDER","04 Nov, 2024","11 Nov, 2024",""
"547","ATTITUDE 12*16 LOOP","KATYANI CYCLINDER","04 Nov, 2024","11 Nov, 2024",""
"548","MERRY KING GARMENTS 15.7*16.7*5.5","KATYANI CYCLINDER","04 Nov, 2024","25 Nov, 2024",""
"549","MONGA GARMENTS 16*16.5*5.5 BOX","KATYANI CYCLINDER","04 Nov, 2024","11 Nov, 2024",""
"550","Bouket 17*13*4","KATYANI CYCLINDER","28 Oct, 2024","11 Nov, 2024",""
"551","BOUKET 11*13*4 BOX","KATYANI CYCLINDER","28 Oct, 2024","11 Nov, 2024",""
"552","FAMOUS POINT 14*18*5","ROYAL CYCLINDERS","25 Oct, 2024","11 Nov, 2024",""
"553","JAI MAA TRADERS ( DEEPAK TRADING CO.)12*16 D-CUT","KATYANI CYCLINDER","25 Oct, 2024","11 Nov, 2024",""
"554","JAI MAA TRADERS ( DEEPAK TRADING CO.) 12*16 D-CUT","KATYANI CYCLINDER","25 Oct, 2024","11 Nov, 2024",""
"555","JAI MAA TRADERS ( DEEPAK TRADING CO.) 13*15*5","KATYANI CYCLINDER","25 Oct, 2024","11 Nov, 2024",""
"556","ATTITUDE 12*16.7*5.5 BOX","ROYAL CYCLINDERS","25 Oct, 2024","04 Nov, 2024",""
"557","TAMIL NADU JOB (GOVT. JOB) 12*14.25*4.5","KATYANI CYCLINDER","21 Oct, 2024","24 Oct, 2024",""
"558","DOABA THE WEDDING MALL 16*17*6","ROYAL CYCLINDERS","19 Oct, 2024","07 Nov, 2024",""
"559","BOMBAY CLOTH STORES 14*16.5*6","KATYANI CYCLINDER","19 Oct, 2024","11 Nov, 2024",""
"560","JODHPUR SWEETS 9*12*6.5","ROYAL CYCLINDERS","19 Oct, 2024","22 Oct, 2024",""
"561","JODHPUR SWEETS 12*8*8","ROYAL CYCLINDERS","19 Oct, 2024","23 Oct, 2024",""
"562","PERFECT POINT 13*15.5*4","KATYANI CYCLINDER","18 Oct, 2024","04 Nov, 2024",""
"563","SAFA DRYFRUITS AND SPICES 11*13*4","JINDAL CYCLINDER","18 Oct, 2024","04 Nov, 2024",""
"564","SAFA DRYFRUITS AND SPICES 14*14*5","KATYANI CYCLINDER","18 Oct, 2024","04 Nov, 2024",""
"565","BHARGAVA'S 11*14.5*5","ROYAL CYCLINDERS","18 Oct, 2024","26 Oct, 2024",""
"566","MONTE CARLO (OG) 16*19 LOOP","SHRI KRISHNA CYCLINDERS","16 Oct, 2024","04 Nov, 2024",""
"567","ROOP SQUARE 16*20 LOOP","ROYAL CYCLINDERS","16 Oct, 2024","25 Oct, 2024",""
"568","ROOP SQUARE 15.7*16.9*5.5","KATYANI CYCLINDER","16 Oct, 2024","23 Oct, 2024",""
"569","BHASIN & SONS 15*18 LOOP","JINDAL CYCLINDER","16 Oct, 2024","22 Oct, 2024",""
"570","BHASIN & SONS 16*16*5 BOX","ROYAL CYCLINDERS","16 Oct, 2024","22 Oct, 2024",""
"571","SATYAM COLLECTION (HINDI) 16*20 LOOP","ROYAL CYCLINDERS","16 Oct, 2024","25 Oct, 2024",""
"572","SATYAM COLLECTION (HINDI) 14*18 D-CUT","ROYAL CYCLINDERS","16 Oct, 2024","04 Nov, 2024",""
"573","HARKIRAT WEDDING MALL 18*15*6","ROYAL CYCLINDERS","16 Oct, 2024","N/A",""
"574","DM ( DEELO AND MEELO) 13*15*4 BOX","JINDAL CYCLINDER","16 Oct, 2024","04 Nov, 2024",""
"575","KIRTI ARTS 16*20 LOOP","JINDAL CYCLINDER","16 Oct, 2024","04 Nov, 2024",""
"576","ZOOM FASHION 9.5*13.5*4 BOX","KATYANI CYCLINDER","16 Oct, 2024","23 Oct, 2024",""
"577","ZOOM FASHION 14*18 LOOP","KATYANI CYCLINDER","16 Oct, 2024","23 Oct, 2024",""
"578","FASHION GALLERY 16*17","JINDAL CYCLINDER","16 Oct, 2024","04 Nov, 2024",""
"579","ANAND CRAZY 17*20 LOOP","KATYANI CYCLINDER","11 Oct, 2024","18 Oct, 2024",""
"580","VIJAY COLLECTION PVT.LTD 11*13*4","ROYAL CYCLINDERS","11 Oct, 2024","18 Oct, 2024",""
"581","VIJAY COLLECTION PVT.LTD 11*14","ROYAL CYCLINDERS","11 Oct, 2024","04 Nov, 2024",""
"582","GSW PREMIUM SHIRTS 14*18","ROYAL CYCLINDERS","11 Oct, 2024","18 Oct, 2024",""
"583","JOLLY WOMEN 17*13*5.5","ROYAL CYCLINDERS","11 Oct, 2024","18 Oct, 2024",""
"584","CHEMBER WOOLEN 14*18","ROYAL CYCLINDERS","11 Oct, 2024","22 Oct, 2024",""
"585","AADHAVI WOMEN'S WEAR (SRV) 12*14","KATYANI CYCLINDER","11 Oct, 2024","18 Oct, 2024",""
"586","BHASIN BROTHERS 15*18 LOOP","ROYAL CYCLINDERS","11 Oct, 2024","24 Oct, 2024",""
"587","LEMON ZEST 14*14.5*9.5","KATYANI CYCLINDER","11 Oct, 2024","23 Oct, 2024",""
"588","LEMON ZEST 13*16*7","KATYANI CYCLINDER","11 Oct, 2024","23 Oct, 2024",""
"589","MINI GARMENTS 16*16.5*5.5","JINDAL CYCLINDER","04 Oct, 2024","17 Oct, 2024",""
"590","SADHU RAM DEV RAJ 16*16.5*5.5","ROYAL CYCLINDERS","04 Oct, 2024","18 Oct, 2024",""
"591","LATTU R.K. SETHI KNITWEARS (17.5*18 LOOP)","ROYAL CYCLINDERS","01 Oct, 2024","11 Oct, 2024",""
"592","KURIKKAL SILKS 12*16 D-CUT","ROYAL CYCLINDERS","30 Sep, 2024","11 Oct, 2024",""
"593","KURIKKAL SILKS 14*18 LOOP","ROYAL CYCLINDERS","30 Sep, 2024","11 Oct, 2024",""
"594","LAJAWAB 13*15.5*5","ROYAL CYCLINDERS","30 Sep, 2024","02 Oct, 2024",""
"595","YNT 12*14","KATYANI CYCLINDER","28 Sep, 2024","17 Oct, 2024",""
"596","BABBI DI HATTI","ROYAL CYCLINDERS","28 Sep, 2024","07 Oct, 2024",""
"597","ESAAR ENTERPRISES","ROYAL CYCLINDERS","28 Sep, 2024","11 Oct, 2024",""
"598","NANAK HUT CLOTH FACTORY","ROYAL CYCLINDERS","27 Sep, 2024","11 Oct, 2024",""
"599","RAJU SWEETS 13*16","ROYAL CYCLINDERS","27 Sep, 2024","07 Oct, 2024",""
"600","SONU EXCLUSIVE 16*16.7*5.5","ROYAL CYCLINDERS","27 Sep, 2024","11 Oct, 2024",""
"601","URBARO MENSWEAR CASUALS","KATYANI CYCLINDER","26 Sep, 2024","17 Oct, 2024",""
"602","TASKIN RIDA'S","ROYAL CYCLINDERS","26 Sep, 2024","11 Oct, 2024",""
"603","JAGGI BOOT HOUSE","ROYAL CYCLINDERS","26 Sep, 2024","11 Oct, 2024",""
"604","PARI 14.5*18*6","KATYANI CYCLINDER","26 Sep, 2024","17 Oct, 2024",""
"605","DAZZLE PREMIUM 14*17","KATYANI CYCLINDER","25 Sep, 2024","18 Oct, 2024",""
"606","DAMROO 13*17*5","KATYANI CYCLINDER","25 Sep, 2024","16 Nov, 2024",""
"607","MAYURI FASHION","ROYAL CYCLINDERS","25 Sep, 2024","03 Oct, 2024",""
"608","PASSI COLLECTION","ROYAL CYCLINDERS","25 Sep, 2024","02 Oct, 2024",""
"609","RAJ","ROYAL CYCLINDERS","21 Sep, 2024","03 Oct, 2024",""
"610","PURI FASHION MALL","ROYAL CYCLINDERS","21 Sep, 2024","02 Oct, 2024",""
"611","VARDHMAN GALLERY","KATYANI CYCLINDER","20 Sep, 2024","27 Sep, 2024",""
"612","HAPPY TAMIL NEW YEAR ( TAMIL LANGUAGE)","KATYANI CYCLINDER","20 Sep, 2024","28 Sep, 2024",""
"613","ARAB PREFUMES (ARBIC LANGUAGE)","ROYAL CYCLINDERS","20 Sep, 2024","28 Sep, 2024",""
"614","DAZZLE PREMIUM","KATYANI CYCLINDER","20 Sep, 2024","04 Oct, 2024",""
"615","SNOOPY'S FASHION POINT","ROYAL CYCLINDERS","20 Sep, 2024","03 Oct, 2024",""
"616","GANDHI GARMENTS","ROYAL CYCLINDERS","20 Sep, 2024","02 Oct, 2024",""
"617","SHREE SUBHASH CLOTHING STORE (HINDI)","ROYAL CYCLINDERS","20 Sep, 2024","01 Oct, 2024",""
"618","VISHAL COLLECTION","ROYAL CYCLINDERS","20 Sep, 2024","02 Oct, 2024",""
"619","NAMASKAR SAREES","KATYANI CYCLINDER","20 Sep, 2024","07 Oct, 2024",""
"620","BOBBY'S DESIGN WEAR","ROYAL CYCLINDERS","17 Sep, 2024","01 Oct, 2024",""
"621","MONTE CARLO (OHI)","ROYAL CYCLINDERS","17 Sep, 2024","01 Oct, 2024",""
"622","PIZZA & CURRY 10*12.5*5.5","KATYANI CYCLINDER","17 Sep, 2024","14 Oct, 2024",""
"623","PIZZA & CURRY 12.5*15.5*7.4","KATYANI CYCLINDER","17 Sep, 2024","07 Oct, 2024",""
"624","BHUSHAN CLOTH HOUSE","ROYAL CYCLINDERS","16 Sep, 2024","03 Oct, 2024",""
"625","OKANE","ROYAL CYCLINDERS","16 Sep, 2024","01 Oct, 2024",""
"626","SHARMAN SHAWLS","ROYAL CYCLINDERS","16 Sep, 2024","27 Sep, 2024",""
"627","DHABER PREMIUM WEAR","ROYAL CYCLINDERS","16 Sep, 2024","01 Oct, 2024",""
"628","STAX PREMIUM WEAR","KATYANI CYCLINDER","16 Sep, 2024","09 Oct, 2024",""
"629","SANTRO","KATYANI CYCLINDER","16 Sep, 2024","09 Oct, 2024",""
"630","ZEEMAX","ROYAL CYCLINDERS","13 Sep, 2024","01 Oct, 2024",""
"631","ABK DRY FRUITS (AMIN-BIN-KHALIK)","ROYAL CYCLINDERS","13 Sep, 2024","28 Sep, 2024",""
"632","CHADHA COLLECTION","ROYAL CYCLINDERS","13 Sep, 2024","25 Sep, 2024",""
"633","CASHEWNUT","ROYAL CYCLINDERS","13 Sep, 2024","27 Sep, 2024",""
"634","FANCY THE WEDDING HUB","ROYAL CYCLINDERS","13 Sep, 2024","25 Sep, 2024",""
"635","DGN PREMIUM (TRUIDEA)","ROYAL CYCLINDERS","09 Sep, 2024","25 Sep, 2024",""
"636","GATEWAY PIZZA","ROYAL CYCLINDERS","09 Sep, 2024","25 Sep, 2024",""
"637","GARMENT PALACE","ROYAL CYCLINDERS","09 Sep, 2024","25 Sep, 2024",""
"638","RAVI GARMENTS","ROYAL CYCLINDERS","09 Sep, 2024","26 Sep, 2024",""
"639","SURANA GARMENTS","KATYANI CYCLINDER","09 Sep, 2024","26 Sep, 2024",""
"640","SURANA GARMENTS","KATYANI CYCLINDER","09 Sep, 2024","27 Sep, 2024",""
"641","JAIN SWEETS","KATYANI CYCLINDER","05 Sep, 2024","25 Sep, 2024",""
"642","JOSHORESHWARI MEGASHOP","KATYANI CYCLINDER","05 Sep, 2024","25 Sep, 2024",""
"643","JOONUS SAIT","ROYAL CYCLINDERS","05 Sep, 2024","14 Sep, 2024",""
"644","NIKUNJ FASHION MALL","ROYAL CYCLINDERS","05 Sep, 2024","25 Sep, 2024",""
"645","MANOHAR CLOTH HOUSE","ROYAL CYCLINDERS","05 Sep, 2024","14 Sep, 2024",""
"646","GUDDU FASHION","KATYANI CYCLINDER","05 Sep, 2024","25 Sep, 2024",""
"647","DEEPE DI HATTI","ROYAL CYCLINDERS","04 Sep, 2024","14 Sep, 2024",""
"648","PRABHU JI FABRICS","ROYAL CYCLINDERS","04 Sep, 2024","14 Sep, 2024",""
"649","L STAR","ROYAL CYCLINDERS","04 Sep, 2024","13 Sep, 2024",""
"650","PASSPORT JEANS","ROYAL CYCLINDERS","04 Sep, 2024","14 Sep, 2024",""
"651","FRONTIER BAZAAR","ROYAL CYCLINDERS","04 Sep, 2024","14 Sep, 2024",""
"652","UNIQUE COLLECTION","ROYAL CYCLINDERS","04 Sep, 2024","14 Sep, 2024",""
"653","PAMPARA PALLA","KATYANI CYCLINDER","03 Sep, 2024","27 Sep, 2024",""
"654","REGALIA","ROYAL CYCLINDERS","03 Sep, 2024","14 Sep, 2024",""
"655","BLUE WORLD","ROYAL CYCLINDERS","03 Sep, 2024","14 Sep, 2024",""
"656","NEW LIGHT GARMENTS","KATYANI CYCLINDER","03 Sep, 2024","11 Sep, 2024",""
"657","THE TEACHER","ROYAL CYCLINDERS","03 Sep, 2024","14 Sep, 2024",""
"658","FASHION FOREVER","ROYAL CYCLINDERS","03 Sep, 2024","14 Sep, 2024",""
"659","SHRI GANESH","ROYAL CYCLINDERS","03 Sep, 2024","14 Sep, 2024",""
"660","SANJU DI HATTI","SHRI KRISHNA CYCLINDERS","03 Sep, 2024","27 Sep, 2024",""
"661","FOREVER 52","KATYANI CYCLINDER","03 Sep, 2024","11 Sep, 2024",""
"662","NOVELTY SWEETS","KATYANI CYCLINDER","03 Sep, 2024","11 Sep, 2024",""
"663","MANOCHA GARMENTS","SHRI KRISHNA CYCLINDERS","03 Sep, 2024","25 Sep, 2024",""
"664","VIJAY COLLECTION PVT. LTD.","JINDAL CYCLINDER","03 Sep, 2024","14 Sep, 2024",""
"665","BIVOL JUNIOR","JINDAL CYCLINDER","03 Sep, 2024","13 Sep, 2024",""
"666","POOJA GARMENTS","ROYAL CYCLINDERS","28 Aug, 2024","14 Sep, 2024",""
"667","OOSHIN US GLITZBERG","ROYAL CYCLINDERS","28 Aug, 2024","06 Sep, 2024",""
"668","COTTON INDIA","KATYANI CYCLINDER","28 Aug, 2024","11 Sep, 2024",""
"669","FIRST MUSKAN FASHION","KATYANI CYCLINDER","28 Aug, 2024","11 Sep, 2024",""
"670","TODAY'S SELECTION","KATYANI CYCLINDER","28 Aug, 2024","14 Sep, 2024",""
"671","UMANG","KATYANI CYCLINDER","28 Aug, 2024","14 Sep, 2024",""
"672","SHRI SACHIDANAND","ROYAL CYCLINDERS","28 Aug, 2024","05 Sep, 2024",""
"673","HOT ZONE FASHION WEAR","ROYAL CYCLINDERS","28 Aug, 2024","05 Sep, 2024",""
"674","TIMMA INTERNATIONAL","KATYANI CYCLINDER","27 Aug, 2024","11 Sep, 2024",""
"675","MOXIL","KATYANI CYCLINDER","27 Aug, 2024","14 Sep, 2024",""
"676","LEATHER MAN","KATYANI CYCLINDER","27 Aug, 2024","30 Aug, 2024",""
"677","STRIKE 18*16.5*6","KATYANI CYCLINDER","27 Aug, 2024","31 Aug, 2024",""
"678","MINT ROOM  13*16.5*7","KATYANI CYCLINDER","27 Aug, 2024","31 Aug, 2024",""
"679","MINT ROOM  10*12.5*7","KATYANI CYCLINDER","27 Aug, 2024","31 Aug, 2024",""
"680","VIJAY LIFESTYLES","JINDAL CYCLINDER","27 Aug, 2024","05 Sep, 2024",""
"681","VIJAY BRIDAL GALLERY","JINDAL CYCLINDER","27 Aug, 2024","05 Sep, 2024",""
"682","AJIT MILLS 16*16.5*7.5","KATYANI CYCLINDER","27 Aug, 2024","11 Sep, 2024",""
"683","AJIT MILLS 14*19","KATYANI CYCLINDER","27 Aug, 2024","11 Sep, 2024",""
"684","AJIT MILLS 14*19","KATYANI CYCLINDER","27 Aug, 2024","14 Sep, 2024",""
"685","SHAHNAI 11*13*4","KATYANI CYCLINDER","27 Aug, 2024","31 Aug, 2024",""
"686","SACHDEVA MISHTHAN BHANDAR","KATYANI CYCLINDER","27 Aug, 2024","14 Sep, 2024",""
"687","BABA CHICKEN CALGARY AB","KATYANI CYCLINDER","27 Aug, 2024","27 Aug, 2024",""
"688","GOLDIE AGENCIES","SHRI KRISHNA CYCLINDERS","18 Aug, 2024","31 Aug, 2024",""
"689","SHAHNAI 14*14.5*5","KATYANI CYCLINDER","18 Aug, 2024","31 Aug, 2024",""
"690","SHAHNAI 9*11*4","KATYANI CYCLINDER","17 Aug, 2024","31 Aug, 2024",""
"691","BANDRA CAFE","KATYANI CYCLINDER","17 Aug, 2024","27 Aug, 2024",""
"692","SAPNA READYMADE GARMENTS","JINDAL CYCLINDER","10 Aug, 2024","18 Aug, 2024",""
"693","UNI FIT THE UNIQUE FIT","JINDAL CYCLINDER","10 Aug, 2024","18 Aug, 2024",""
"694","FLORA","KATYANI CYCLINDER","05 Aug, 2024","14 Aug, 2024",""
"695","GAYATRI DUGDH BHANDAR","INNOVATIVE CYCLINDERS","05 Aug, 2024","07 Oct, 2024",""
"696","THE SATPAL STORE","SHRI KRISHNA CYCLINDERS","05 Aug, 2024","27 Aug, 2024",""
"697","PARAMOUNT CLOTHING STORE","SHRI KRISHNA CYCLINDERS","05 Aug, 2024","27 Aug, 2024",""
"698","INDIA CLOTH HOUSE","ROYAL CYCLINDERS","05 Aug, 2024","18 Aug, 2024",""
"699","GVM","KATYANI CYCLINDER","05 Aug, 2024","27 Aug, 2024",""
"700","TOM HIDDLE 11.5*13*4","SHRI KRISHNA CYCLINDERS","02 Aug, 2024","18 Aug, 2024",""
"701","TOM HIDDLE 12*14","SHRI KRISHNA CYCLINDERS","02 Aug, 2024","18 Aug, 2024",""
"702","BIG BRO","SHRI KRISHNA CYCLINDERS","02 Aug, 2024","17 Aug, 2024",""
"703","LUDHIANA FASHION MALL","SHRI KRISHNA CYCLINDERS","01 Aug, 2024","17 Aug, 2024",""
"704","CITRUS","KATYANI CYCLINDER","31 Jul, 2024","03 Aug, 2024",""
"705","AMRUT 12*18*4","KATYANI CYCLINDER","31 Jul, 2024","17 Aug, 2024",""
"706","AMRUT 15*17*5.5","KATYANI CYCLINDER","31 Jul, 2024","17 Aug, 2024",""
"707","PARIS 12.5*17*5.5","KATYANI CYCLINDER","31 Jul, 2024","17 Aug, 2024",""
"708","PARIS 15*17*5.5","KATYANI CYCLINDER","31 Jul, 2024","22 Aug, 2024",""
